GEO_ID,STATE,STATEFP,LEA,SDNAME,TYPE,
0409190,AZ,04,09190,Wickenburg Unified District,Unified,
0409250,AZ,04,09250,Willcox Unified District,Unified,
0409310,AZ,04,09310,Williams Unified District,Unified,
0409360,AZ,04,09360,Williamson Valley Elementary School District,Elementary,
0409390,AZ,04,09390,Wilson Elementary District,Elementary,
0409430,AZ,04,09430,Window Rock Unified District,Unified,
0409460,AZ,04,09460,Winslow Unified District,Unified,
0409510,AZ,04,09510,Yarnell Elementary District,Elementary,
0409540,AZ,04,09540,Young Elementary School District,Elementary,
0409570,AZ,04,09570,Yucca Elementary District,Elementary,
0409600,AZ,04,09600,Yuma Elementary District,Elementary,
0409630,AZ,04,09630,Yuma Union High School District,Secondary,
0409733,AZ,04,09733,Sedona-Oak Creek Joint Unified District,Unified,
0499997,AZ,04,99997,School District Not Defined,Unified,
0500001,AR,05,00001,DeWitt School District,Unified,
0500006,AR,05,00006,Warren School District,Unified,
0500007,AR,05,00007,Eudora Public Schools,Unified,
0500009,AR,05,00009,Corning Public Schools,Unified,
0500012,AR,05,00012,Riverside School District,Unified,
0500015,AR,05,00015,Sheridan School District,Unified,
0500016,AR,05,00016,Marmaduke School District,Unified,
0500017,AR,05,00017,Paragould School District,Unified,
0500019,AR,05,00019,Batesville School District,Unified,
0500020,AR,05,00020,Midland School District,Unified,
0500021,AR,05,00021,Izard Cty Consolidated Schools,Unified,
0500023,AR,05,00023,Newport School District,Unified,
0500026,AR,05,00026,Pine Bluff School District,Unified,
0500028,AR,05,00028,Star City School District,Unified,
0500029,AR,05,00029,Gosnell School District,Unified,
0500030,AR,05,00030,Nevada School District,Unified,
0500032,AR,05,00032,Bearden School District,Unified,
0500041,AR,05,00041,Western Yell County School District,Unified,
0500042,AR,05,00042,Hamburg School District,Unified,
0500043,AR,05,00043,Mountain Home School District,Unified,
0500044,AR,05,00044,Magnolia School District,Unified,
0500045,AR,05,00045,South Mississippi County School District,Unified,
0500046,AR,05,00046,Manila School District,Unified,
0500047,AR,05,00047,Trumann Schools,Unified,
0500048,AR,05,00048,East Poinsett County School District,Unified,
0500049,AR,05,00049,De Queen School District,Unified,
0500051,AR,05,00051,Palestine-Wheatley School District,Unified,
0500065,AR,05,00065,Lafayette County School District,Unified,
0500067,AR,05,00067,Cleveland County School District,Unified,
0500068,AR,05,00068,Emerson-Taylor School District,Unified,
0500070,AR,05,00070,Cedar Ridge School District,Unified,
0500071,AR,05,00071,Hillcrest School District,Unified,
0500072,AR,05,00072,Deer/Mount Judea School District,Unified,
0500073,AR,05,00073,Ouachita River School District,Unified,
0500076,AR,05,00076,Ozark Mountain School District,Unified,
0500077,AR,05,00077,Twin Rivers School District,Unified,
0500079,AR,05,00079,Two Rivers School District,Unified,
0502250,AR,05,02250,Alma School District,Unified,
0502280,AR,05,02280,Alpena School District,Unified,
0502330,AR,05,02330,Altheimer Unified School District,Unified,
0502430,AR,05,02430,Arkadelphia School District,Unified,
0502550,AR,05,02550,Armorel School District,Unified,
0502580,AR,05,02580,Ashdown School District,Unified,
0502610,AR,05,02610,Atkins Public Schools,Unified,
0502670,AR,05,02670,Augusta School District,Unified,
0502700,AR,05,02700,Bald Knob School District,Unified,
0502730,AR,05,02730,Barton-Lexa School District,Unified,
0502790,AR,05,02790,Bauxite School District,Unified,
0502820,AR,05,02820,Bay School District,Unified,
0502880,AR,05,02880,Beebe School District,Unified,
0502960,AR,05,02960,Benton School District,Unified,
0503030,AR,05,03030,Pea Ridge School District,Unified,
0503060,AR,05,03060,Bentonville Public Schools,Unified,
0503090,AR,05,03090,Bergman School District,Unified,
0503150,AR,05,03150,Berryville Public Schools,Unified,
0503240,AR,05,03240,Bismarck Public Schools,Unified,
0503270,AR,05,03270,Black Rock School District,Unified,
0503300,AR,05,03300,Blevins School District,Unified,
0503320,AR,05,03320,Blytheville School District,Unified,
0503420,AR,05,03420,Lead Hill School District,Unified,
0503450,AR,05,03450,Booneville School District,Unified,
0503480,AR,05,03480,Bradford School District,Unified,
0503510,AR,05,03510,Bradley School District,Unified,
0503630,AR,05,03630,Brinkley School District,Unified,
0503640,AR,05,03640,Brookland School District,Unified,
0503690,AR,05,03690,Bryant Public Schools,Unified,
0503710,AR,05,03710,Buffalo Island Central School District,Unified,
0503750,AR,05,03750,Cabot Public Schools,Unified,
0503770,AR,05,03770,Caddo Hills School District,Unified,
0503840,AR,05,03840,Calico Rock School District,Unified,
0503960,AR,05,03960,Carlisle School District,Unified,
0504020,AR,05,04020,Westside Consolidated School District,Unified,
0504050,AR,05,04050,Cave City School District,Unified,
0504080,AR,05,04080,Cedarville School District,Unified,
0504110,AR,05,04110,Genoa Central School District,Unified,
0504170,AR,05,04170,White County Central School District,Unified,
0504200,AR,05,04200,Charleston School District,Unified,
0504350,AR,05,04350,Clarendon School District,Unified,
0504370,AR,05,04370,Rector School District,Unified,
0504380,AR,05,04380,Clarksville School District,Unified,
0504410,AR,05,04410,Clinton School District,Unified,
0504560,AR,05,04560,Concord Public Schools,Unified,
0504590,AR,05,04590,Conway Public Schools,Unified,
0504680,AR,05,04680,Cotter School District,Unified,
0504740,AR,05,04740,County Line School District,Unified,
0504800,AR,05,04800,Crossett School District,Unified,
0504860,AR,05,04860,Cutter-Morning Star School District,Unified,
0504890,AR,05,04890,Danville School District,Unified,
0504930,AR,05,04930,Dardanelle Public Schools,Unified,
0504980,AR,05,04980,Decatur School District,Unified,
0505070,AR,05,05070,Delight School District,Unified,
0505170,AR,05,05170,Dermott School District,Unified,
0505190,AR,05,05190,Des Arc Public Schools,Unified,
0505310,AR,05,05310,De Valls Bluff Schools,Unified,
0505340,AR,05,05340,Dierks School District,Unified,
0505410,AR,05,05410,Dollarway School District,Unified,
0505430,AR,05,05430,Dover School District,Unified,
0505470,AR,05,05470,Drew Central School District,Unified,
0505500,AR,05,05500,Dumas School District,Unified,
0505550,AR,05,05550,Earle School District,Unified,
0505580,AR,05,05580,East End School District,Unified,
0505680,AR,05,05680,El Dorado School District,Unified,
0505740,AR,05,05740,Elaine School District,Unified,
0505760,AR,05,05760,Elkins School District,Unified,
0505850,AR,05,05850,England School District,Unified,
0505970,AR,05,05970,Eureka Springs School District,Unified,
